time,Algorithms,n_features
3.070643901824951,Binarsity,10
0.9165410995483398,Binarsity,10
0.9599020481109619,Binarsity,10
0.8255786895751953,Binarsity,10
1.074352741241455,Binarsity,10
0.9713034629821777,Binarsity,10
0.9718964099884033,Binarsity,10
0.8273508548736572,Binarsity,10
1.1662845611572266,Binarsity,10
0.9157166481018066,Binarsity,10
1.6720757484436035,Binarsity,10
0.8904225826263428,Binarsity,10
0.941744327545166,Binarsity,10
0.8763821125030518,Binarsity,10
0.9351751804351807,Binarsity,10
0.8721132278442383,Binarsity,10
0.8877096176147461,Binarsity,10
0.9244084358215332,Binarsity,10
2.882810354232788,Binarsity,10
0.8885459899902344,Binarsity,10
0.9644157886505127,Binarsity,10
0.9090015888214111,Binarsity,10
0.8821039199829102,Binarsity,10
0.8507003784179688,Binarsity,10
0.8414928913116455,Binarsity,10
0.9083600044250488,Binarsity,10
0.8486900329589844,Binarsity,10
0.8736042976379395,Binarsity,10
0.8870036602020264,Binarsity,10
0.8690085411071777,Binarsity,10
0.8383018970489502,Binarsity,10
0.8608200550079346,Binarsity,10
0.9074153900146484,Binarsity,10
0.9456899166107178,Binarsity,10
0.9402351379394531,Binarsity,10
0.8990061283111572,Binarsity,10
0.8660876750946045,Binarsity,10
0.8815333843231201,Binarsity,10
0.8526115417480469,Binarsity,10
0.8985581398010254,Binarsity,10
0.8520333766937256,Binarsity,10
0.8671383857727051,Binarsity,10
0.8633143901824951,Binarsity,10
1.0224251747131348,Binarsity,10
0.8626208305358887,Binarsity,10
0.8924789428710938,Binarsity,10
1.0106196403503418,Binarsity,10
0.8444914817810059,Binarsity,10
0.874387264251709,Binarsity,10
0.8293068408966064,Binarsity,10
0.8337686061859131,Binarsity,10
0.8548672199249268,Binarsity,10
0.873584508895874,Binarsity,10
0.8425204753875732,Binarsity,10
0.841205358505249,Binarsity,10
0.8619375228881836,Binarsity,10
0.8574151992797852,Binarsity,10
0.8292984962463379,Binarsity,10
0.8890612125396729,Binarsity,10
0.8665561676025391,Binarsity,10
0.8564682006835938,Binarsity,10
0.8747096061706543,Binarsity,10
0.8597240447998047,Binarsity,10
0.8515527248382568,Binarsity,10
1.0202062129974365,Binarsity,10
0.8466432094573975,Binarsity,10
0.8648684024810791,Binarsity,10
0.8422038555145264,Binarsity,10
0.8817300796508789,Binarsity,10
0.8818142414093018,Binarsity,10
0.8813214302062988,Binarsity,10
0.8329875469207764,Binarsity,10
0.8284714221954346,Binarsity,10
0.925917387008667,Binarsity,10
0.8464899063110352,Binarsity,10
0.8748519420623779,Binarsity,10
0.877429723739624,Binarsity,10
0.8410465717315674,Binarsity,10
0.9374983310699463,Binarsity,10
0.8716926574707031,Binarsity,10
0.8890972137451172,Binarsity,10
0.8616847991943359,Binarsity,10
0.9312429428100586,Binarsity,10
0.858161449432373,Binarsity,10
0.8188624382019043,Binarsity,10
0.8570535182952881,Binarsity,10
0.8828248977661133,Binarsity,10
0.8525176048278809,Binarsity,10
0.8103249073028564,Binarsity,10
0.825469970703125,Binarsity,10
0.8833653926849365,Binarsity,10
0.8228762149810791,Binarsity,10
0.8890557289123535,Binarsity,10
0.8290176391601562,Binarsity,10
0.8486599922180176,Binarsity,10
0.8902535438537598,Binarsity,10
0.8593430519104004,Binarsity,10
0.8689076900482178,Binarsity,10
0.9028792381286621,Binarsity,10
0.8323972225189209,Binarsity,10
0.4507715702056885,Lasso,10
0.4741096496582031,Lasso,10
0.4509575366973877,Lasso,10
0.4161677360534668,Lasso,10
